STATE US ABBREVIATION,PAIN RELIEVERS - PAST YEAR USE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,253646000,N/A,1070000
AK,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,555000,N/A,17000
AL,Overall,0.015,0.0004,0.015,0.016,1,0,N/A,N/A,0.015,0.0004,0.015,0.016,3905000,N/A,105000
AR,Overall,0.009,0.0003,0.009,0.01,1,0,N/A,N/A,0.009,0.0003,0.009,0.01,2370000,N/A,72000
AZ,Overall,0.021,0.0008,0.019,0.022,1,0,N/A,N/A,0.021,0.0008,0.019,0.022,5267000,N/A,195000
CA,Overall,0.12,0.0018,0.117,0.124,1,0,N/A,N/A,0.12,0.0018,0.117,0.124,30516000,N/A,491000
CO,Overall,0.016,0.0005,0.015,0.017,1,0,N/A,N/A,0.016,0.0005,0.015,0.017,4117000,N/A,121000
CT,Overall,0.012,0.0003,0.011,0.012,1,0,N/A,N/A,0.012,0.0003,0.011,0.012,2968000,N/A,78000
DC,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,520000,N/A,15000
DE,Overall,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,0.003,0.0001,0.003,0.003,739000,N/A,22000
FL,Overall,0.062,0.0011,0.06,0.064,1,0,N/A,N/A,0.062,0.0011,0.06,0.064,15747000,N/A,292000
GA,Overall,0.031,0.0011,0.029,0.033,1,0,N/A,N/A,0.031,0.0011,0.029,0.033,7852000,N/A,278000
HI,Overall,0.004,0.0001,0.004,0.004,1,0,N/A,N/A,0.004,0.0001,0.004,0.004,1078000,N/A,30000
IA,Overall,0.01,0.0003,0.009,0.01,1,0,N/A,N/A,0.01,0.0003,0.009,0.01,2510000,N/A,66000
ID,Overall,0.005,0.0001,0.005,0.005,1,0,N/A,N/A,0.005,0.0001,0.005,0.005,1245000,N/A,38000
IL,Overall,0.042,0.0006,0.041,0.043,1,0,N/A,N/A,0.042,0.0006,0.041,0.043,10618000,N/A,154000
IN,Overall,0.021,0.0005,0.02,0.022,1,0,N/A,N/A,0.021,0.0005,0.02,0.022,5294000,N/A,137000
KS,Overall,0.009,0.0003,0.009,0.01,1,0,N/A,N/A,0.009,0.0003,0.009,0.01,2294000,N/A,65000
KY,Overall,0.014,0.0004,0.013,0.015,1,0,N/A,N/A,0.014,0.0004,0.013,0.015,3557000,N/A,110000
LA,Overall,0.014,0.0004,0.014,0.015,1,0,N/A,N/A,0.014,0.0004,0.014,0.015,3636000,N/A,100000
MA,Overall,0.022,0.0007,0.021,0.023,1,0,N/A,N/A,0.022,0.0007,0.021,0.023,5560000,N/A,177000
MD,Overall,0.019,0.0005,0.018,0.02,1,0,N/A,N/A,0.019,0.0005,0.018,0.02,4761000,N/A,118000
ME,Overall,0.004,0.0001,0.004,0.005,1,0,N/A,N/A,0.004,0.0001,0.004,0.005,1134000,N/A,26000
MI,Overall,0.033,0.0004,0.032,0.034,1,0,N/A,N/A,0.033,0.0004,0.032,0.034,8338000,N/A,105000
MN,Overall,0.017,0.0006,0.016,0.018,1,0,N/A,N/A,0.017,0.0006,0.016,0.018,4384000,N/A,143000
MO,Overall,0.019,0.0004,0.019,0.02,1,0,N/A,N/A,0.019,0.0004,0.019,0.02,4920000,N/A,113000
MS,Overall,0.009,0.0003,0.009,0.01,1,0,N/A,N/A,0.009,0.0003,0.009,0.01,2381000,N/A,78000
MT,Overall,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,0.003,0.0001,0.003,0.003,820000,N/A,22000
NC,Overall,0.03,0.001,0.028,0.032,1,0,N/A,N/A,0.03,0.001,0.028,0.032,7678000,N/A,266000
ND,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,550000,N/A,14000
NE,Overall,0.006,0.0001,0.006,0.006,1,0,N/A,N/A,0.006,0.0001,0.006,0.006,1475000,N/A,37000
NH,Overall,0.004,0.0001,0.004,0.005,1,0,N/A,N/A,0.004,0.0001,0.004,0.005,1125000,N/A,20000
NJ,Overall,0.029,0.0007,0.027,0.03,1,0,N/A,N/A,0.029,0.0007,0.027,0.03,7315000,N/A,191000
NM,Overall,0.006,0.0002,0.006,0.007,1,0,N/A,N/A,0.006,0.0002,0.006,0.007,1648000,N/A,43000
NV,Overall,0.009,0.0004,0.008,0.009,1,0,N/A,N/A,0.009,0.0004,0.008,0.009,2172000,N/A,91000
NY,Overall,0.065,0.0009,0.063,0.066,1,0,N/A,N/A,0.065,0.0009,0.063,0.066,16380000,N/A,232000
OH,Overall,0.038,0.0005,0.037,0.039,1,0,N/A,N/A,0.038,0.0005,0.037,0.039,9581000,N/A,123000
OK,Overall,0.012,0.0003,0.011,0.012,1,0,N/A,N/A,0.012,0.0003,0.011,0.012,3005000,N/A,78000
OR,Overall,0.013,0.0004,0.012,0.013,1,0,N/A,N/A,0.013,0.0004,0.012,0.013,3216000,N/A,89000
PA,Overall,0.042,0.0006,0.041,0.043,1,0,N/A,N/A,0.042,0.0006,0.041,0.043,10611000,N/A,149000
RI,Overall,0.004,0.0001,0.003,0.004,1,0,N/A,N/A,0.004,0.0001,0.003,0.004,894000,N/A,25000
SC,Overall,0.015,0.0004,0.014,0.016,1,0,N/A,N/A,0.015,0.0004,0.014,0.016,3753000,N/A,106000
SD,Overall,0.003,0.0001,0.002,0.003,1,0,N/A,N/A,0.003,0.0001,0.002,0.003,662000,N/A,19000
TN,Overall,0.021,0.0005,0.02,0.022,1,0,N/A,N/A,0.021,0.0005,0.02,0.022,5216000,N/A,140000
TX,Overall,0.078,0.0013,0.076,0.081,1,0,N/A,N/A,0.078,0.0013,0.076,0.081,19838000,N/A,357000
UT,Overall,0.008,0.0002,0.008,0.009,1,0,N/A,N/A,0.008,0.0002,0.008,0.009,2139000,N/A,58000
VA,Overall,0.026,0.0007,0.024,0.027,1,0,N/A,N/A,0.026,0.0007,0.024,0.027,6487000,N/A,188000
VT,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,538000,N/A,14000
WA,Overall,0.022,0.0005,0.021,0.023,1,0,N/A,N/A,0.022,0.0005,0.021,0.023,5550000,N/A,133000
WI,Overall,0.019,0.0005,0.018,0.02,1,0,N/A,N/A,0.019,0.0005,0.018,0.02,4723000,N/A,128000
WV,Overall,0.006,0.0002,0.006,0.006,1,0,N/A,N/A,0.006,0.0002,0.006,0.006,1553000,N/A,38000
WY,Overall,0.002,0,0.002,0.002,1,0,N/A,N/A,0.002,0,0.002,0.002,451000,N/A,11000
Overall,0 - Did not use in the past year,0.952,0.0005,0.951,0.953,0.952,0.0005,0.951,0.953,1,0,N/A,N/A,241570000,N/A,1040000
AK,0 - Did not use in the past year,0.002,0.0001,0.002,0.002,0.947,0.0038,0.939,0.954,0.002,0.0001,0.002,0.002,526000,N/A,16000
AL,0 - Did not use in the past year,0.015,0.0004,0.014,0.015,0.945,0.0039,0.937,0.952,0.015,0.0004,0.014,0.016,3691000,N/A,101000
AR,0 - Did not use in the past year,0.009,0.0003,0.008,0.009,0.94,0.0041,0.931,0.947,0.009,0.0003,0.009,0.01,2227000,N/A,70000
AZ,0 - Did not use in the past year,0.019,0.0007,0.018,0.021,0.934,0.0038,0.926,0.941,0.02,0.0008,0.019,0.022,4921000,N/A,187000
CA,0 - Did not use in the past year,0.114,0.0017,0.111,0.118,0.949,0.0017,0.946,0.953,0.12,0.0018,0.116,0.123,28971000,N/A,472000
CO,0 - Did not use in the past year,0.015,0.0005,0.014,0.016,0.943,0.0043,0.934,0.951,0.016,0.0005,0.015,0.017,3881000,N/A,119000
CT,0 - Did not use in the past year,0.011,0.0003,0.011,0.012,0.961,0.0027,0.956,0.966,0.012,0.0003,0.011,0.012,2854000,N/A,75000
DC,0 - Did not use in the past year,0.002,0.0001,0.002,0.002,0.959,0.0029,0.953,0.965,0.002,0.0001,0.002,0.002,499000,N/A,15000
DE,0 - Did not use in the past year,0.003,0.0001,0.003,0.003,0.946,0.0038,0.938,0.953,0.003,0.0001,0.003,0.003,699000,N/A,21000
FL,0 - Did not use in the past year,0.06,0.0011,0.057,0.062,0.959,0.0016,0.955,0.962,0.062,0.0011,0.06,0.065,15096000,N/A,284000
GA,0 - Did not use in the past year,0.03,0.0011,0.028,0.032,0.955,0.0033,0.948,0.961,0.031,0.0011,0.029,0.033,7497000,N/A,274000
HI,0 - Did not use in the past year,0.004,0.0001,0.004,0.004,0.954,0.0036,0.947,0.961,0.004,0.0001,0.004,0.005,1029000,N/A,29000
IA,0 - Did not use in the past year,0.01,0.0003,0.009,0.01,0.97,0.0022,0.966,0.974,0.01,0.0003,0.01,0.011,2436000,N/A,66000
ID,0 - Did not use in the past year,0.005,0.0001,0.004,0.005,0.943,0.0035,0.936,0.95,0.005,0.0001,0.005,0.005,1174000,N/A,35000
IL,0 - Did not use in the past year,0.04,0.0006,0.039,0.041,0.961,0.0015,0.958,0.964,0.042,0.0006,0.041,0.044,10205000,N/A,152000
IN,0 - Did not use in the past year,0.02,0.0005,0.019,0.021,0.941,0.0037,0.933,0.947,0.021,0.0005,0.02,0.022,4979000,N/A,133000
KS,0 - Did not use in the past year,0.009,0.0002,0.008,0.009,0.958,0.0029,0.952,0.963,0.009,0.0003,0.009,0.01,2198000,N/A,61000
KY,0 - Did not use in the past year,0.013,0.0004,0.012,0.014,0.945,0.0039,0.936,0.952,0.014,0.0004,0.013,0.015,3359000,N/A,108000
LA,0 - Did not use in the past year,0.014,0.0004,0.013,0.014,0.945,0.0029,0.939,0.951,0.014,0.0004,0.013,0.015,3437000,N/A,95000
