STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,280926000,N/A,3041000
AK,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,586000,N/A,40000
AL,Overall,0.015,0.0008,0.014,0.017,1,0,N/A,N/A,0.015,0.0008,0.014,0.017,4260000,N/A,214000
AR,Overall,0.009,0.0007,0.008,0.011,1,0,N/A,N/A,0.009,0.0007,0.008,0.011,2535000,N/A,197000
AZ,Overall,0.022,0.0015,0.019,0.025,1,0,N/A,N/A,0.022,0.0015,0.019,0.025,6201000,N/A,429000
CA,Overall,0.118,0.0043,0.11,0.127,1,0,N/A,N/A,0.118,0.0043,0.11,0.127,33113000,N/A,1333000
CO,Overall,0.018,0.0014,0.015,0.021,1,0,N/A,N/A,0.018,0.0014,0.015,0.021,4950000,N/A,388000
CT,Overall,0.011,0.0008,0.01,0.013,1,0,N/A,N/A,0.011,0.0008,0.01,0.013,3116000,N/A,235000
DC,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,572000,N/A,35000
DE,Overall,0.003,0.0002,0.003,0.003,1,0,N/A,N/A,0.003,0.0002,0.003,0.003,863000,N/A,53000
FL,Overall,0.067,0.0028,0.062,0.073,1,0,N/A,N/A,0.067,0.0028,0.062,0.073,18944000,N/A,822000
GA,Overall,0.032,0.0019,0.029,0.036,1,0,N/A,N/A,0.032,0.0019,0.029,0.036,9064000,N/A,548000
HI,Overall,0.004,0.0003,0.004,0.005,1,0,N/A,N/A,0.004,0.0003,0.004,0.005,1186000,N/A,91000
IA,Overall,0.01,0.0005,0.009,0.011,1,0,N/A,N/A,0.01,0.0005,0.009,0.011,2687000,N/A,146000
ID,Overall,0.006,0.0005,0.005,0.007,1,0,N/A,N/A,0.006,0.0005,0.005,0.007,1602000,N/A,153000
IL,Overall,0.038,0.002,0.034,0.042,1,0,N/A,N/A,0.038,0.002,0.034,0.042,10700000,N/A,591000
IN,Overall,0.02,0.0015,0.018,0.023,1,0,N/A,N/A,0.02,0.0015,0.018,0.023,5711000,N/A,414000
KS,Overall,0.009,0.0005,0.008,0.01,1,0,N/A,N/A,0.009,0.0005,0.008,0.01,2428000,N/A,144000
KY,Overall,0.013,0.0009,0.012,0.015,1,0,N/A,N/A,0.013,0.0009,0.012,0.015,3775000,N/A,253000
LA,Overall,0.014,0.0012,0.011,0.016,1,0,N/A,N/A,0.014,0.0012,0.011,0.016,3815000,N/A,333000
MA,Overall,0.022,0.0014,0.019,0.025,1,0,N/A,N/A,0.022,0.0014,0.019,0.025,6059000,N/A,401000
MD,Overall,0.018,0.001,0.017,0.021,1,0,N/A,N/A,0.018,0.001,0.017,0.021,5196000,N/A,293000
ME,Overall,0.004,0.0004,0.004,0.005,1,0,N/A,N/A,0.004,0.0004,0.004,0.005,1207000,N/A,111000
MI,Overall,0.031,0.0014,0.028,0.033,1,0,N/A,N/A,0.031,0.0014,0.028,0.033,8578000,N/A,398000
MN,Overall,0.017,0.0012,0.015,0.02,1,0,N/A,N/A,0.017,0.0012,0.015,0.02,4815000,N/A,330000
MO,Overall,0.018,0.0018,0.015,0.022,1,0,N/A,N/A,0.018,0.0018,0.015,0.022,5193000,N/A,521000
MS,Overall,0.009,0.0005,0.008,0.01,1,0,N/A,N/A,0.009,0.0005,0.008,0.01,2447000,N/A,153000
MT,Overall,0.003,0.0003,0.003,0.004,1,0,N/A,N/A,0.003,0.0003,0.003,0.004,948000,N/A,91000
NC,Overall,0.032,0.0017,0.029,0.035,1,0,N/A,N/A,0.032,0.0017,0.029,0.035,8950000,N/A,481000
ND,Overall,0.002,0.0003,0.002,0.003,1,0,N/A,N/A,0.002,0.0003,0.002,0.003,637000,N/A,74000
