STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
AK,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,586000,N/A,23000
AK,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.946,0.0066,0.932,0.958,0.002,0.0001,0.002,0.002,554000,N/A,23000
AK,1 - Misused within the past year,0,0,0,0,0.054,0.0066,0.042,0.068,0.003,0.0004,0.002,0.004,32000,N/A,4000
AL,Overall,0.015,0.0006,0.014,0.016,1,0,N/A,N/A,0.015,0.0006,0.014,0.016,4085000,N/A,165000
AL,0 - Did not misuse in the past year,0.014,0.0006,0.013,0.015,0.948,0.0063,0.934,0.959,0.015,0.0006,0.014,0.016,3871000,N/A,154000
AL,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.052,0.0063,0.041,0.066,0.02,0.0027,0.016,0.026,214000,N/A,28000
AR,Overall,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,0.009,0.0004,0.008,0.01,2489000,N/A,120000
AR,0 - Did not misuse in the past year,0.009,0.0004,0.008,0.009,0.947,0.0064,0.933,0.958,0.009,0.0004,0.008,0.01,2357000,N/A,113000
AR,1 - Misused within the past year,0,0.0001,0,0.001,0.053,0.0064,0.042,0.067,0.013,0.0017,0.01,0.016,132000,N/A,18000
AZ,Overall,0.022,0.0012,0.019,0.024,1,0,N/A,N/A,0.022,0.0012,0.019,0.024,5909000,N/A,331000
AZ,0 - Did not misuse in the past year,0.021,0.0012,0.019,0.023,0.957,0.0055,0.945,0.967,0.022,0.0012,0.019,0.024,5657000,N/A,326000
AZ,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.043,0.0055,0.033,0.055,0.024,0.003,0.019,0.031,252000,N/A,32000
CA,Overall,0.121,0.0023,0.117,0.126,1,0,N/A,N/A,0.121,0.0023,0.117,0.126,33047000,N/A,698000
CA,0 - Did not misuse in the past year,0.116,0.0022,0.112,0.121,0.961,0.0029,0.955,0.966,0.121,0.0023,0.117,0.126,31763000,N/A,662000
CA,1 - Misused within the past year,0.005,0.0004,0.004,0.006,0.039,0.0029,0.034,0.045,0.122,0.009,0.105,0.141,1284000,N/A,104000
CO,Overall,0.017,0.0012,0.015,0.02,1,0,N/A,N/A,0.017,0.0012,0.015,0.02,4726000,N/A,318000
CO,0 - Did not misuse in the past year,0.016,0.0011,0.014,0.019,0.945,0.0086,0.925,0.959,0.017,0.0011,0.015,0.019,4466000,N/A,304000
CO,1 - Misused within the past year,0.001,0.0002,0.001,0.001,0.055,0.0086,0.041,0.075,0.025,0.0041,0.018,0.034,261000,N/A,44000
CT,Overall,0.011,0.0005,0.01,0.012,1,0,N/A,N/A,0.011,0.0005,0.01,0.012,3065000,N/A,133000
CT,0 - Did not misuse in the past year,0.011,0.0005,0.01,0.012,0.962,0.005,0.951,0.971,0.011,0.0005,0.01,0.012,2949000,N/A,129000
CT,1 - Misused within the past year,0,0.0001,0,0.001,0.038,0.005,0.029,0.049,0.011,0.0016,0.008,0.015,117000,N/A,16000
DC,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,593000,N/A,27000
DC,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.958,0.0069,0.942,0.97,0.002,0.0001,0.002,0.002,568000,N/A,26000
DC,1 - Misused within the past year,0,0,0,0,0.042,0.0069,0.03,0.058,0.002,0.0004,0.002,0.003,25000,N/A,4000
DE,Overall,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,0.003,0.0001,0.003,0.003,815000,N/A,37000
DE,0 - Did not misuse in the past year,0.003,0.0001,0.003,0.003,0.963,0.0046,0.953,0.971,0.003,0.0001,0.003,0.003,786000,N/A,35000
DE,1 - Misused within the past year,0,0,0,0,0.037,0.0046,0.029,0.047,0.003,0.0004,0.002,0.004,30000,N/A,4000
FL,Overall,0.066,0.0018,0.063,0.07,1,0,N/A,N/A,0.066,0.0018,0.063,0.07,18049000,N/A,519000
FL,0 - Did not misuse in the past year,0.063,0.0017,0.06,0.067,0.954,0.0037,0.946,0.961,0.066,0.0018,0.062,0.069,17216000,N/A,495000
FL,1 - Misused within the past year,0.003,0.0003,0.003,0.004,0.046,0.0037,0.039,0.054,0.079,0.0066,0.067,0.093,833000,N/A,73000
GA,Overall,0.032,0.001,0.03,0.034,1,0,N/A,N/A,0.032,0.001,0.03,0.034,8633000,N/A,284000
GA,0 - Did not misuse in the past year,0.031,0.001,0.029,0.033,0.965,0.004,0.956,0.972,0.032,0.001,0.03,0.034,8330000,N/A,276000
GA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.035,0.004,0.028,0.044,0.029,0.0034,0.023,0.036,303000,N/A,36000
HI,Overall,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,0.004,0.0002,0.004,0.005,1158000,N/A,49000
HI,0 - Did not misuse in the past year,0.004,0.0002,0.004,0.004,0.963,0.0054,0.951,0.973,0.004,0.0002,0.004,0.005,1116000,N/A,48000
HI,1 - Misused within the past year,0,0,0,0,0.037,0.0054,0.027,0.049,0.004,0.0006,0.003,0.005,42000,N/A,6000
IA,Overall,0.01,0.0005,0.009,0.011,1,0,N/A,N/A,0.01,0.0005,0.009,0.011,2624000,N/A,133000
IA,0 - Did not misuse in the past year,0.009,0.0005,0.008,0.01,0.96,0.0044,0.95,0.968,0.01,0.0005,0.009,0.011,2518000,N/A,126000
IA,1 - Misused within the past year,0,0,0,0,0.04,0.0044,0.032,0.05,0.01,0.0013,0.008,0.013,106000,N/A,13000
ID,Overall,0.005,0.0002,0.005,0.006,1,0,N/A,N/A,0.005,0.0002,0.005,0.006,1423000,N/A,58000
ID,0 - Did not misuse in the past year,0.005,0.0002,0.005,0.005,0.954,0.0051,0.943,0.963,0.005,0.0002,0.005,0.006,1358000,N/A,55000
ID,1 - Misused within the past year,0,0,0,0,0.046,0.0051,0.037,0.057,0.006,0.0008,0.005,0.008,65000,N/A,8000
IL,Overall,0.039,0.001,0.037,0.041,1,0,N/A,N/A,0.039,0.001,0.037,0.041,10707000,N/A,279000
IL,0 - Did not misuse in the past year,0.038,0.001,0.036,0.04,0.973,0.0026,0.968,0.978,0.04,0.001,0.038,0.042,10422000,N/A,269000
IL,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.027,0.0026,0.022,0.032,0.027,0.0028,0.022,0.033,285000,N/A,30000
IN,Overall,0.02,0.0008,0.019,0.022,1,0,N/A,N/A,0.02,0.0008,0.019,0.022,5552000,N/A,218000
IN,0 - Did not misuse in the past year,0.019,0.0008,0.018,0.021,0.949,0.0046,0.939,0.957,0.02,0.0008,0.019,0.022,5269000,N/A,207000
IN,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.051,0.0046,0.043,0.061,0.027,0.0027,0.022,0.033,283000,N/A,28000
KS,Overall,0.009,0.0004,0.008,0.009,1,0,N/A,N/A,0.009,0.0004,0.008,0.009,2379000,N/A,103000
KS,0 - Did not misuse in the past year,0.008,0.0004,0.008,0.009,0.961,0.0048,0.951,0.97,0.009,0.0004,0.008,0.009,2287000,N/A,98000
KS,1 - Misused within the past year,0,0,0,0,0.039,0.0048,0.03,0.049,0.009,0.0012,0.007,0.011,92000,N/A,13000
KY,Overall,0.014,0.0005,0.013,0.015,1,0,N/A,N/A,0.014,0.0005,0.013,0.015,3709000,N/A,131000
